SALE DEBIT ,25.00,shopping
CASH WITHDRAWAL ,100.00,uncategorised
CASH WITHDRAWAL ,101.00,uncategorised
PYMT FROM A/C GOLDEN SCREEN CINEM* 21019011202084 ,17.50,entertainment
SALE DEBIT ,50.00,shopping
SALE DEBIT ,25.00,shopping
SALE DEBIT ,45.00,shopping
CASH WITHDRAWAL ,80.00,uncategorised
PYMT FROM A/C UMOBILE* PREPAID RELOAD 0183648056 ,30.00,utilities
CASH WITHDRAWAL ,100.00,uncategorised
CASH WITHDRAWAL ,100.00,uncategorised
PAYMENT VIA MYDEBIT STARBUCKS-BTS 3 * KUALA LUMPUR PAYMENT VIA MYDEBIT ,5.80
PYMT FROM A/C GOLDEN SCREEN CINEM* 22119012744828 ,15.50,entertainment
PAYMENT VIA MYDEBIT GSC-BERJAYA TIMES S* KUALA LUMPUR PAYMENT VIA MYDEBIT ,3.50,entertainment
CASH WITHDRAWAL ,100.00,uncategorised
SALE DEBIT ,5.70,shopping
PRE-AUTH DEBIT ,0.21
PRE-AUTH DEBIT ,70.26
PRE-AUTH DEBIT ,207.20
PRE-AUTH DEBIT ,17.86
PYMT FROM A/C UMOBILE*   PREPAID RELOAD 0183648056 ,5.00,utilities
PYMT FROM A/C UMOBILE* PREPAID RELOAD 0183648056 ,5.00,utilities
ATM CARD CHARGES ,12.00
CASH WITHDRAWAL ,101.00,uncategorised
SALE DEBIT ,69.54,shopping
SALE DEBIT ,205.08,shopping
SALE DEBIT ,17.68,shopping
FPX PAYMENT FR A/ AKAMVGCVA3001191105* AIRASIA BERHAD 1901301106250240 ,203.00,food_dining
CASH WITHDRAWAL ,100.00,uncategorised
CASH WITHDRAWAL ,200.00,uncategorised
CASH WITHDRAWAL ,801.00,uncategorised
PYMT FROM A/C GOLDEN SCREEN CINEM* 22119020452874 ,12.00,entertainment
CASH WITHDRAWAL ,101.00,uncategorised
CASH WITHDRAWAL ,200.00,uncategorised
CASH WITHDRAWAL ,101.00,uncategorised
IBK FUND TFR FR A SILVER BULLION SDN * 5616 ,1805.75
CASH WITHDRAWAL ,701.00,uncategorised
PYMT FROM A/C UMOBILE* PREPAID RELOAD 0183648056 ,5.00,utilities
CASH WITHDRAWAL ,1000.00,uncategorised
TRANSFER FROM A/C ,207.36,uncategorised
FOREIGN TT DR APEX/MUHAMMED IRSHAD MTUT0603TCH006 ,9810.00
SALE DEBIT ,465.01,shopping
SALE DEBIT ,259.13,shopping
PAYMENT VIA MYDEBIT ,12.20
CASH WITHDRAWAL ,201.00,uncategorised
SALE DEBIT ,43.05,shopping
CASH WITHDRAWAL ,401.00,uncategorised
SALE DEBIT ,312.00,shopping
PAYMENT VIA MYDEBIT BABEL FITNESS ASIA * KUALA LUMPUR PAYMENT VIA MYDEBIT ,230.00
CASH WITHDRAWAL ,100.00,uncategorised
CASH WITHDRAWAL ,121.00,uncategorised
PYMT FROM A/C UMOBILE* PREPAID RELOAD 0183648056 ,10.00,utilities
